CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_END_DATE,EMPLOYER_NAME,JOB_TITLE,SOC_NAME,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,WAGE_RATE_OF_PAY_FROM,PREVAILING_WAGE,FULL_TIME_POSITION,PW_UNIT_OF_PAY,PW_SOURCE_YEAR,H1B_DEPENDENT,EMPLOYER_CITY,WORKSITE_CITY,WORKSITE_COUNTY,EMPLOYER_STATE,WORKSITE_STATE,EMPLOYER_LAT,EMPLOYER_LONG,WORKSITE_LAT,WORKSITE_LONG
145,CERTIFIED-WITHDRAWN,15-03-2016,03-10-2016,H-1B,13-09-2019,TAMARES MANAGEMENT LLC,INVESTMENT ANALYST - REAL ESTATE,FINANCIAL ANALYSTS,1,1,0,0,0,0,0,95000,94640,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.759511,-73.99019,40.759511,-73.99019
146,CERTIFIED-WITHDRAWN,16-03-2016,03-10-2016,H-1B,14-09-2019,BMW TECHNOLOGY CORPORATION,SOFTWARE ENGINEER I,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,76000,50856,Y,Year,2015,N,CHICAGO,CHICAGO,COOK,IL,IL,41.882582,-87.6376,41.882582,-87.6376
147,CERTIFIED-WITHDRAWN,22-03-2016,03-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,SOFTWARE DEVELOPER,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,63400,63170,Y,Year,2015,Y,PLAINSBORO,PRINCETON,MERCER,NJ,NJ,40.33371,-74.58512,40.357439,-74.64922
148,CERTIFIED-WITHDRAWN,22-03-2016,03-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,DATA WAREHOUSE SPECIALIST,"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,60000,56805,Y,Year,2015,Y,PLAINSBORO,PRINCETON,MERCER,NJ,NJ,40.33371,-74.58512,40.357439,-74.64922
149,CERTIFIED-WITHDRAWN,22-03-2016,03-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,DATABASE ADMINISTRATOR,DATABASE ADMINISTRATORS,1,1,0,0,0,0,0,68800,68786,Y,Year,2015,Y,PLAINSBORO,PRINCETON,MERCER,NJ,NJ,40.33371,-74.58512,40.357439,-74.64922
150,CERTIFIED-WITHDRAWN,23-03-2016,03-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,SYSTEMS ADMINISTRATOR,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,1,1,0,0,0,0,0,65400,65333,Y,Year,2015,Y,PLAINSBORO,NEW BRUNSWICK,MIDDLESEX,NJ,NJ,40.33371,-74.58512,40.488304,-74.44775
151,CERTIFIED-WITHDRAWN,24-03-2016,03-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,64000,63170,Y,Year,2015,Y,PLAINSBORO,PRINCETON,MERCER,NJ,NJ,40.33371,-74.58512,40.357439,-74.64922
152,CERTIFIED-WITHDRAWN,25-03-2016,03-10-2016,H-1B,31-07-2019,"HULU, LLC",SENIOR SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,159000,120453,Y,Year,2015,N,SANTA MONICA,SANTA MONICA,LOS ANGELES,CA,CA,34.026959,-118.47432,34.026959,-118.47432
153,CERTIFIED-WITHDRAWN,31-03-2016,03-10-2016,H-1B,23-07-2019,"SG AMERICAS SECURITIES, LLC",SALESPERSON (MARKET RISK ADVISORY),"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES",1,0,1,0,0,0,0,207000,206232,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.754862,-73.97495,40.754862,-73.97495
154,CERTIFIED-WITHDRAWN,31-03-2016,03-10-2016,H-1B,30-08-2019,ECHOSTAR DATA NETWORKS,ENGINEER II,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,1,0,0,0,0,57325,57325,Y,Year,2015,N,ENGLEWOOD,ATLANTA,DEKALB,CO,GA,39.579454,-104.88288,33.926753,-84.33877
155,CERTIFIED-WITHDRAWN,01-04-2016,03-10-2016,H-1B,30-09-2019,"ANSYS, INC.",SENIOR TECHNICAL SERVICES ENGINEER,SALES ENGINEERS,1,0,1,0,0,0,0,94869,94869,Y,Year,2015,N,CANONSBURG,ORLANDO,ORANGE,PA,FL,40.26819,-80.16222,28.584177,-81.18634
156,CERTIFIED-WITHDRAWN,01-04-2016,03-10-2016,E-3 Australian,30-09-2018,HOWARD HUGHES MEDICAL INSTITUTE,RESEARCH SPECIALIST,"LIFE SCIENTISTS, ALL OTHER",1,1,0,0,0,0,0,53000,50440,Y,Year,2016,U,CHEVY CHASE,SAN FRANCISCO,SAN FRANCISCO,MD,CA,38.97986,-77.08079,37.76,-122.39
157,CERTIFIED-WITHDRAWN,06-04-2016,03-10-2016,H-1B,07-09-2019,APPNEXUS INC.,SOFTWARE ENGINEER II - BACK END AND WEB SERVICES,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,1,0,0,0,125000,72010,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.739022,-73.98205,40.739022,-73.98205
158,CERTIFIED-WITHDRAWN,07-04-2016,03-10-2016,H-1B,17-04-2019,"IDC TECHNOLOGIES, INC.",SOFTWARE TEST ENGINEER,"COMPUTER OCCUPATIONS, ALL OTHER",1,0,0,0,0,1,0,80000,65770,Y,Year,2015,N,MILPITAS,MILPITAS,SANTA CLARA,CA,CA,37.436451,-121.89438,37.436451,-121.89438
159,CERTIFIED-WITHDRAWN,07-04-2016,03-10-2016,H-1B,18-09-2019,"AC INVESTMENT MANAGEMENT, LLC",ANALYST,FINANCIAL ANALYSTS,1,0,1,0,0,0,0,75000,65187,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.765714,-73.9856,40.765714,-73.9856
160,CERTIFIED-WITHDRAWN,13-04-2016,03-10-2016,H-1B,07-11-2017,LAWRENCE BERKELEY NATIONAL LABORATORY,SOFTWARE DEVELOPER 4,"SOFTWARE DEVELOPERS, APPLICATIONS, R&D",1,0,1,0,0,0,0,121044,91000,Y,Year,2016,N,BERKELEY,BERKELEY,ALAMEDA,CA,CA,37.866825,-122.253582,37.866825,-122.253582
161,CERTIFIED-WITHDRAWN,13-04-2016,03-10-2016,H-1B,04-09-2019,"ADVANCED MICRO DEVICES, INC.",SENIOR DESIGN ENGINEER,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1,0,1,0,0,0,0,100000,93397,Y,Year,2016,N,SUNNYVALE,SUNNYVALE,SANTA CALRA,CA,CA,37.189396,-121.705327,37.189396,-121.705327
162,CERTIFIED-WITHDRAWN,14-04-2016,03-10-2016,H-1B,19-08-2019,ADVENT GLOBAL SOLUTIONS INC.,COMPUTER PROGRAMMER,COMPUTER PROGRAMMERS,1,0,0,1,0,0,0,65000,62462,Y,Year,2015,N,HOUSTON,SOUTH BLOOMINGTON,MCLEAN,TX,IL,29.978801,-95.57655,40.519236,-88.864303
163,CERTIFIED-WITHDRAWN,02-05-2016,03-10-2016,H-1B,16-05-2019,"FRONTIER TECHNOLOGIES, LLC",SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,76000,75338,Y,Year,2015,Y,NAPERVILLE,ATLANTA,COBB,IL,GA,41.794885,-88.16188,33.87507,-84.46615
164,CERTIFIED-WITHDRAWN,20-05-2016,03-10-2016,H-1B,01-09-2019,CERNER CORPORATION,SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,1,0,0,0,0,89600,78978,Y,Year,2015,N,NORTH KANSAS CITY,NORTH KANSAS CITY,CLAY,MO,MO,39.165253,-94.53158,39.165253,-94.53158
165,CERTIFIED-WITHDRAWN,26-05-2016,03-10-2016,H-1B,05-06-2019,TECHTOMIX LLC,AZURE ARCHITECT (PROGRAMMER / ANALYST),COMPUTER SYSTEMS ANALYSTS,1,0,0,1,0,0,0,72000,61173,Y,Year,2015,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
166,CERTIFIED-WITHDRAWN,08-06-2016,03-10-2016,E-3 Australian,01-07-2018,"MICHAEL PAGE INTERNATIONAL, INC.",MANAGING CONSULTANT,HUMAN RESOURCES SPECIALISTS,1,0,1,0,0,0,0,75000,45282,Y,Year,2015,U,STAMFORD,NEW YORK,NEW YORK,CT,NY,41.051996,-73.53903,40.752159,-73.97231
167,CERTIFIED-WITHDRAWN,12-06-2016,03-10-2016,H-1B,31-08-2017,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,POSTDOC - EMPLOYEE,"ENGINEERS, ALL OTHER",1,1,0,0,0,0,0,43692,43692,Y,Year,2016,N,RIVERSIDE,RIVERSIDE,RIVERSIDE,CA,CA,33.752886,-116.055617,33.752886,-116.055617
168,CERTIFIED-WITHDRAWN,30-06-2016,03-10-2016,H-1B,01-10-2019,KINGSMEN SOFTWARE LLC,SOFTWARE DEVELOPER-ASSOCIATE,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,1,0,0,0,0,78000,77168,Y,Year,2015,N,CHARLOTTE,CHARLOTTE,MECKLENBURG,NC,NC,35.227192,-80.84419,35.227192,-80.84419
169,CERTIFIED-WITHDRAWN,12-07-2016,03-10-2016,H-1B,12-07-2019,C-VISION INC,PROGRAMMER ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,1,0,0,0,60000,47154,Y,Year,2016,Y,TROY,ATLANTA,COBB,MI,GA,42.556943,-83.11506,33.87507,-84.46615
170,CERTIFIED-WITHDRAWN,14-07-2016,03-10-2016,H-1B,22-07-2019,HARMONY SCHOOL OF EXCELLENCE-AUSTIN,COMPUTER TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,42100,42100,Y,Year,2016,N,AUSTIN,AUSTIN,TRAVIS,TX,TX,30.188377,-97.74038,30.188377,-97.74038
171,CERTIFIED-WITHDRAWN,18-07-2016,03-10-2016,H-1B,31-10-2019,UNIVERSITY OF MARYLAND COLLEGE PARK,POST-DOCTORAL ASSOCIATE,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, R&D",1,1,0,0,0,0,0,80000,63232,Y,Year,2016,N,COLLEGE PARK,COLLEGE PARK,PRINCE GEORGE'S,MD,MD,38.833563,-76.877743,38.833563,-76.877743
172,CERTIFIED-WITHDRAWN,19-07-2016,03-10-2016,H-1B,28-07-2019,BUTTE- GLENN COMMUNITY COLLEGE DISTRICT,OFFICE COORDINATOR,"FINANCIAL SPECIALISTS, ALL OTHER",1,1,0,0,0,0,0,22.26,21.45,Y,Hour,2016,N,OROVILLE,OROVILLE,BUTTE,CA,CA,39.558586,-121.58923,39.558586,-121.58923
173,CERTIFIED-WITHDRAWN,20-07-2016,03-10-2016,H-1B,27-07-2019,HIAWATHA LEADERSHIP ACADEMY,FOUNDING SPANISH TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,1,0,0,0,0,0,47500,44430,Y,Year,2016,N,MINNEAPOLIS,MINNEAPOLIS,MINNESOTA,MN,MN,44.934915,-93.25424,44.934915,-93.25424
174,CERTIFIED-WITHDRAWN,02-08-2016,03-10-2016,H-1B,10-09-2018,"ARGHA SERVICES, INC",PROGRAMMER ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,0,1,70000,47154,Y,Year,2016,Y,ATLANTA,ATLANTA,FULTON,GA,GA,33.942751,-84.31769,33.942751,-84.31769
175,CERTIFIED-WITHDRAWN,17-08-2016,03-10-2016,H-1B,30-09-2019,"L'OREAL USA, INC.",DIGITAL PRODUCTION MANAGER,FILM AND VIDEO EDITORS,1,0,0,0,0,0,1,78000,77875,Y,Year,2016,N,NEW YORK,EL SEGUNDO,LOS ANGELES,NY,CA,40.750742,-73.99653,33.921313,-118.40843
176,CERTIFIED-WITHDRAWN,17-08-2016,03-10-2016,H-1B,07-07-2017,STATE UNIVERSITY OF NEW YORK AT BUFFALO,MEDICAL RESIDENT PGY-6,"PHYSICIANS AND SURGEONS, ALL OTHER",1,1,0,0,0,0,0,54495,53413,Y,Year,2014,N,BUFFALO,BUFFALO,ERIE,NY,NY,42.941407,-78.83741,42.941407,-78.83741
177,CERTIFIED-WITHDRAWN,25-08-2016,03-10-2016,H-1B,06-09-2019,MORGAN STANLEY SERVICES GROUP INC.,VICE PRESIDENT,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,135000,111405,Y,Year,2016,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.759511,-73.99019,40.759511,-73.99019
178,CERTIFIED-WITHDRAWN,25-08-2016,03-10-2016,H-1B,02-10-2019,BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE,ATMOSPHERIC AND SPACE SCIENTISTS,1,1,0,0,0,0,0,67000,65499,Y,Year,2016,N,RICHLAND,RICHLAND,BENTON,WA,WA,46.35,-119.32,46.35,-119.32
179,CERTIFIED-WITHDRAWN,07-09-2016,03-10-2016,H-1B,18-12-2019,AMERICAN ELECTRIC POWER,ENGINEER,ELECTRICAL ENGINEERS,1,0,0,0,0,1,0,68000,67018,Y,Year,2016,N,COLUMBUS,TULSA,TULSA,OH,OK,39.965131,-83.00431,36.142743,-95.98872
180,CERTIFIED-WITHDRAWN,08-09-2016,03-10-2016,H-1B,05-02-2020,LIFE TECHNOLOGIES CORPORATION,"STAFF SCIENTIST, BIOINFORMATICS","BIOLOGICAL SCIENTISTS, ALL OTHER",1,0,1,0,0,0,0,90900,83200,Y,Year,2016,N,CARLSBAD,CARLSBAD,SAN DIEGO,CA,CA,33.158137,-117.32646,33.158137,-117.32646
181,CERTIFIED-WITHDRAWN,12-09-2016,03-10-2016,H-1B,08-05-2017,SOFTPATH SYSTEM LLC,INTEGRATION SPECIALIST,COMPUTER PROGRAMMERS,1,0,0,0,0,0,1,60000,54558,Y,Year,2016,Y,NORCROSS,PORTLAND,MULTNOMAH,GA,OR,33.909952,-84.1794,45.534839,-122.7095
182,CERTIFIED-WITHDRAWN,13-09-2016,03-10-2016,H-1B,30-09-2017,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,POSTDOC - EMPLOYEE,"ENGINEERS, ALL OTHER",1,1,0,0,0,0,0,43692,43692,Y,Year,2016,N,RIVERSIDE,RIVERSIDE,RIVERSIDE,CA,CA,33.752886,-116.055617,33.752886,-116.055617
183,CERTIFIED-WITHDRAWN,14-09-2016,03-10-2016,H-1B,30-09-2019,BENJAMIN MOORE & CO.,MASTER DATA GOVERNANCE MANAGER,COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,1,0,136000,124987,Y,Year,2016,N,MONTVALE,MONTVALE,BERGEN COUNTY,NJ,NJ,41.048997,-74.04052,41.048997,-74.04052
184,CERTIFIED-WITHDRAWN,19-09-2016,03-10-2016,H-1B,16-10-2019,"UCHICAGO ARGONNE, LLC",ASSISTANT COMPUTER SCIENTIST,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,5,1,2,1,0,0,1,73174,73174,Y,Year,2016,N,LEMONT,LEMONT,DUPAGE,IL,IL,41.676028,-87.98258,41.676028,-87.98258
185,CERTIFIED-WITHDRAWN,19-09-2016,03-10-2016,H-1B,19-09-2019,LIFE TECHNOLOGIES CORPORATION,ASSOCIATE MARKET DEVELOPMENT MANAGER,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,1,0,0,0,0,0,1,85300,73299,Y,Year,2016,N,CARLSBAD,SOUTH SAN FRANCISCO,SAN MATEO,CA,CA,33.158137,-117.32646,37.652857,-122.4301
186,CERTIFIED-WITHDRAWN,20-09-2016,03-10-2016,H-1B,31-08-2018,DALLAS INDEPENDENT SCHOOL DISTRICT,ELEMENTARY BILINGUAL TEACHER,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",1,0,1,0,0,0,0,50000,48870,Y,Year,2016,N,DALLAS,DALLAS,DALLAS,TX,TX,32.874317,-96.74764,32.78238,-96.86945
187,CERTIFIED-WITHDRAWN,21-09-2016,03-10-2016,H-1B,20-09-2019,"KPIT INFOSYSTEMS, INC.",TECHNICAL LEADER,COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,0,1,66273,64002,Y,Year,2016,Y,EDISON,COLUMBUS,BARTHOLOMEW,NJ,IN,40.529355,-74.33844,39.185341,-85.9456
188,CERTIFIED-WITHDRAWN,21-09-2016,03-10-2016,H-1B,09-10-2019,L&T TECHNOLOGY SERVICES LIMITED,MECHANICAL ENGINEER,MECHANICAL ENGINEERS,1,0,0,0,0,1,0,67000,54122,Y,Year,2016,Y,EDISON,FOREST CITY,WINNEBAGO,NJ,IA,40.516104,-74.39754,43.259165,-93.65625
189,CERTIFIED-WITHDRAWN,23-09-2016,03-10-2016,H-1B,23-10-2019,CERNER CORPORATION,SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,80000,66997,Y,Year,2016,N,NORTH KANSAS CITY,NORTH KANSAS CITY,CLAY,MO,MO,39.165253,-94.53158,39.165253,-94.53158
190,CERTIFIED-WITHDRAWN,23-09-2016,03-10-2016,H-1B,09-10-2019,L&T TECHNOLOGY SERVICES LIMITED,TECHNICAL CONSULTANT,MECHANICAL ENGINEERS,1,0,0,0,0,1,0,67000,54122,Y,Year,2016,Y,EDISON,FOREST CITY,WINNEBAGO,NJ,IA,40.516104,-74.39754,43.259165,-93.65625
191,CERTIFIED-WITHDRAWN,23-09-2016,03-10-2016,H-1B,16-09-2019,"PEGASYS SYSTEMS AND TECHNOLOGIES, INC.",SYSTEM ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,0,1,60000,56410,Y,Year,2016,Y,NORTHVILLE,PROVIDENCE,PROVIDENCE,MI,RI,42.425506,-83.48945,41.8208,-71.41306
192,CERTIFIED-WITHDRAWN,26-09-2016,03-10-2016,H-1B,30-09-2019,PROPELSYS TECHNOLOGIES LLC,PROGRAMMER ANALYST (PHP),COMPUTER PROGRAMMERS,1,0,0,0,0,0,1,67891,65187,Y,Year,2016,Y,PLANO,MORRISVILLE,WAKE,TX,NC,33.03505,-96.80492,35.846363,-78.83866
193,CERTIFIED-WITHDRAWN,26-09-2016,03-10-2016,H-1B,18-12-2019,THE UNIVERSITY OF IOWA,POSTDOCTORAL RESEARCH SCHOLAR,BIOCHEMISTS AND BIOPHYSICISTS,1,0,0,0,0,0,1,22.83,19.92,N,Hour,2016,N,IOWA CITY,IOWA CITY,JOHNSON,IA,IA,41.662116,-91.54143,41.662116,-91.54143
194,CERTIFIED-WITHDRAWN,26-09-2016,03-10-2016,H-1B,30-09-2019,PROPELSYS TECHNOLOGIES LLC,PROGRAMMER ANALYST (JAVA),COMPUTER PROGRAMMERS,1,0,0,0,0,0,1,70616,70616,Y,Year,2016,Y,PLANO,HOUSTON,HARRIS,TX,TX,33.03505,-96.80492,29.739029,-95.44364
195,CERTIFIED,27-09-2016,03-10-2016,H-1B,20-09-2019,CLOUDWICK TECHNOLOGIES INC.,HADOOP ADMINISTRATOR,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,102149,102149,Y,Year,2016,Y,NEWARK,MOUNTAIN VIEW,SANTA CLARA,CA,CA,37.535586,-122.03362,37.380207,-122.08787
196,CERTIFIED,27-09-2016,03-10-2016,H-1B,21-09-2019,TATA CONSULTANCY SERVICES LIMITED,DEVELOPER USER INTERFACE,WEB DEVELOPERS,1,0,0,0,0,0,1,62500,56784,Y,Year,2016,Y,ROCKVILLE,HUDSON,SUMMIT,MD,OH,39.093408,-77.1718,41.248795,-81.44679
197,CERTIFIED,27-09-2016,03-10-2016,H-1B,26-03-2020,"HEALTH MANAGEMENT SYSTEMS, INC.",SOLUTION ARCHITECT,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,1,0,0,0,0,90664,85197,Y,Year,2016,N,IRVING,IRVING,DALLAS,TX,TX,32.872386,-96.98524,32.872386,-96.98524
198,CERTIFIED,27-09-2016,03-10-2016,H-1B,12-03-2020,"BLACKROCK INVESTMENT MANAGEMENT, LLC",VICE PRESIDENT,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,1,0,0,0,0,117770,117770,Y,Year,2016,N,NEW YORK,SAN FRANCISCO,SAN FRANCISCO,NY,CA,40.759015,-73.96732,37.789228,-122.3957
199,CERTIFIED,27-09-2016,03-10-2016,H-1B,31-08-2017,"UNIVERSITY OF CALIFORNIA, BERKELEY",ASSOCIATE SPECIALIST STEP II,SOIL AND PLANT SCIENTISTS,1,1,0,0,0,0,0,66414,66414,Y,Year,2016,N,BERKELEY,BERKELEY,ALAMEDA,CA,CA,37.866825,-122.253582,37.866825,-122.253582
200,CERTIFIED,27-09-2016,03-10-2016,H-1B,02-10-2019,SDILOGIC INC.,SOFTWARE ENGINEER,COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,0,1,95000,94619,Y,Year,2016,Y,LEWISVILLE,MOUNTAIN VIEW,SANTA CLARA,TX,CA,33.020118,-97.00771,37.40679,-122.07461
201,CERTIFIED,27-09-2016,03-10-2016,H-1B,16-10-2019,"PAGNY, PC","PAGNY, PC",ANESTHESIOLOGISTS,1,1,0,0,0,0,0,201714,187200,Y,Year,2016,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.812665,-73.95499,40.791586,-73.94575
202,CERTIFIED,27-09-2016,03-10-2016,H-1B,03-10-2019,"FLEXERA GLOBAL, INC.",SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,70000,69472,Y,Year,2016,Y,SUGAR LAND,SUGAR LAND,FORT BEND,TX,TX,29.627737,-95.62444,29.627737,-95.62444
203,CERTIFIED,27-09-2016,03-10-2016,H-1B,29-09-2019,"GARDEN VIEW, INC.","LANDSCAPE DESIGNER, LANDSCAPE ARCHITECTURE",LANDSCAPE ARCHITECTS,1,0,0,0,0,1,0,25.73,25.73,Y,Hour,2016,N,MONROVIA,MONROVIA,LOS ANGELES,CA,CA,34.140806,-118.00184,34.140806,-118.00184
204,CERTIFIED,27-09-2016,03-10-2016,H-1B,26-09-2019,AMFAL TECH LLC,SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",4,2,0,0,0,2,0,47570,47570,Y,Year,2016,N,WINTER  SPRINGS,LOUISVILLE,JEFFERSON,FL,KY,28.683408,-81.28151,38.252854,-85.75137
205,CERTIFIED,27-09-2016,03-10-2016,H-1B,22-02-2020,"FRED MEYER STORES, INC.",PHARMACIST MANAGER,PHARMACISTS,1,1,0,0,0,0,0,63.23,53.91,Y,Hour,2016,N,PORTLAND,MEDFORD,JACKSON,OR,OR,45.481791,-122.64055,42.334496,-122.83547
206,CERTIFIED,27-09-2016,03-10-2016,H-1B,22-02-2020,"FRED MEYER STORES, INC.",PHARMACIST MANAGER,PHARMACISTS,1,1,0,0,0,0,0,63.23,53.02,Y,Hour,2016,N,PORTLAND,KLAMATH FALLS,KLAMATH,OR,OR,45.481791,-122.64055,42.169323,-121.70298
207,CERTIFIED,27-09-2016,03-10-2016,H-1B,01-12-2019,MASTERCARD INTERNATIONAL INCORPORATED,"SENIOR ANALYST, SOFTWARE TESTING & QUALITY ASSURANCE",COMPUTER SYSTEMS ANALYSTS,1,0,1,0,0,0,0,78208,78208,Y,Year,2016,N,PURCHASE,O'FALLON,ST. CHARLES,NY,MO,41.037203,-73.71588,38.78,-90.7
208,CERTIFIED,27-09-2016,03-10-2016,H-1B,22-02-2020,"FRED MEYER STORES, INC.",PHARMACIST MANAGER,PHARMACISTS,1,1,0,0,0,0,0,63.23,52.93,Y,Hour,2016,N,PORTLAND,KENT,KING,OR,WA,45.481791,-122.64055,47.388461,-122.19644
209,CERTIFIED,27-09-2016,03-10-2016,H-1B,31-10-2019,"THE FINANCIAL RISK GROUP, INC.",SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,140000,111405,Y,Year,2016,N,CARY,FOREST HILLS,QUEENS,NC,NY,35.755651,-78.77508,40.720535,-73.84582
210,CERTIFIED,27-09-2016,03-10-2016,H-1B,11-02-2019,LAWRENCE BERKELEY NATIONAL LABORATORY,SCIENTIFIC ENGIEERING ASSOCIATE (BIOLOGICAL SCIENCE),"BIOLOGICAL SCIENTISTS, ALL OTHER",1,0,0,1,0,0,0,80004,64418,Y,Year,2016,N,BERKELEY,BERKELEY,ALAMEDA,CA,CA,37.866825,-122.253582,37.866825,-122.253582
211,CERTIFIED,27-09-2016,03-10-2016,H-1B,31-01-2020,"CIGNITI, INC.",PERFORMANCE TESTER,"COMPUTER OCCUPATIONS, ALL OTHER",1,0,1,0,0,0,0,81515,79498,Y,Year,2016,Y,IRVING,IRVING,DALLAS,TX,TX,32.876474,-96.94129,32.876474,-96.94129
212,CERTIFIED,27-09-2016,03-10-2016,H-1B,30-09-2019,"FIRST DATA TECHNOLOGIES, INC.",SYSTEMS ENGINEER I,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",1,0,0,0,0,1,1,88000,80205,Y,Year,2016,N,ATLANTA,MARIETTA,COBB,GA,GA,33.879003,-84.37203,33.933002,-84.47633
213,CERTIFIED,27-09-2016,03-10-2016,H-1B,30-01-2020,WEBSTER UNIVERSITY,MANAGER TRAINING AND INSTRUCTIONAL DESIGN,INSTRUCTIONAL COORDINATORS,1,0,0,0,0,0,1,62830.08,47528,Y,Year,2016,N,ST. LOUIS,ST. LOUIS,ST. LOUIS,MO,MO,38.590652,-90.35168,38.590652,-90.35168
214,CERTIFIED,27-09-2016,03-10-2016,H-1B,22-10-2019,"GLOBANT, LLC","ANDROID MOBILE DEVELOPER, ANALYST SENIOR","SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,0,1,130000,58968,Y,Year,2016,N,SAN FRANCISCO,CELEBRATION,OSCEOLA,CA,FL,37.772329,-122.41087,28.326187,-81.58897
215,CERTIFIED,27-09-2016,03-10-2016,H-1B,19-03-2020,"OKTA, INC.",PRINCIPAL SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",1,0,1,0,0,0,0,130603,130603,Y,Year,2016,N,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO,CA,CA,37.766529,-122.39577,37.766529,-122.39577
216,CERTIFIED,27-09-2016,03-10-2016,H-1B,05-03-2020,WICHITA STATE UNIVERSITY,ASSISTANT PROFESSOR - LINGUISTICS,"ENGLISH LANGUAGE AND LITERATURE TEACHERS,",1,1,0,0,0,0,0,53000,36560,Y,Year,2016,N,WICHITA,WICHITA,SEDGWICK,KS,KS,37.693588,-97.480419,37.693588,-97.480419
217,CERTIFIED,27-09-2016,03-10-2016,H-1B,07-11-2019,"NATURAL SYSTEMS ANALYSTS, INC.",RESEARCHER VI,HYDROLOGISTS,1,0,0,0,0,1,0,79248,79248,Y,Year,2016,N,WINTER PARK,RICHMOND,RICHMOND CITY,FL,VA,28.598677,-81.35594,37.621745,-77.48896
